Título;Descripción;Temática;Categoría;Fecha de inicio;Fecha de fin;Hora inicio;Hora fin;Precio;Colectivo destinatario;Destinatarios;Imagen del evento;Imagen del evento ampliada;Lugar de celebración;Latitud;Longitud;ID Localidad;Nombre Localidad;Código provincia;Nombre Provincia;Calle;CP;Código de la biblioteca;Evento en biblioteca;ID evento;Enlace al contenido;Posicion
'El robo' (TEATRO ALÚA);"<p>Una divertidísima comedia con máscaras de enredo y farsa a partir del texto del dramaturgo salmantino recientemente descubierto Martín Iglesias de Morille.</p> 
<p></p> 
<p>Sinopsis: Don Diego, un joven hidalgo de Salamanca, anhela escapar de su vida sencilla en busca de aventuras. En su camino conoce a David Donald, con quien forja una amistad inquebrantable tras descubrir juntos las minas del rey Salomón.</p> 
<p>A su regreso a Salamanca, Don Diego trae consigo un cofre lleno de riquezas y un juramento: que sus hijos se casen en el futuro para consolidar la amistad entre ambas familias. Sin embargo, cuando llega el momento, su criado Basilio junto con su mejor amigo Lutecio desatarán el caos con el objetivo de robar el tesoro. Toda esta trama dará una lección importantísima a todos los personajes sobre el amor.</p> 
<p><strong>Género: Teatro. Estilo: Cómico. Duración: 75 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p><p><strong>Web del evento</strong>: https://www.aluateatro.com/obras</p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/115/878/El%20robo,2.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='El robo'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/115/878/El%20robo,4.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='El robo'></p>";Teatro títeres monólogo;Espectáculos;2026-05-01;;20:00;;Gratuita.;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/115/878/El%20robo,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/115/878/El%20robo.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Centro Cultural de Santa Ana (Macotera);40.85121557428245;-5.299873352050781;1179298267165;Macotera;37;Salamanca;Plaza de Santa Ana, s/n;37310;;NO;1285613120848;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285613120848/Comunicacion;40.85121557428245, -5.299873352050781
'El segundo mejor mago del mundo' (FERNANDO SALDAÑA);"<p>Arcadio Saldaña cree que es el segundo mejor mago del mundo. Su hermano Fernando, también mago y su maestro, le dice que algún día lo conseguirá, pero que, de momento, tiene que ensayar más e imaginar mucho para conseguirlo. No obstante, Arcadio se empeña en demostrar lo que sabe hacer, y lo hace mediante un espectáculo cargado de comedia, errores, risas, magia y muchas, muchas sorpresas.</p> 
<p><strong>Género: Teatro. Estilo: Multidisciplinar. Duración: 55 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p><p><strong>Web del evento</strong>: https://saldanaespectaculos.blogspot.com/</p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/659/289/El%20segundo%20mejor%20mago%20del%20mundo,2.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='El segundo mejor mago del mundo'></p>";Teatro títeres monólogo;Espectáculos;2026-03-19;;13:00;;Gratuita;;Público familiar;"https://datosabiertos.jcyl.es/web/jcyl/binarios/659/289/El%20segundo%20mejor%20mago%20del%20mundo,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/659/289/El%20segundo%20mejor%20mago%20del%20mundo.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Auditorio del Centro Comarcal de Nuevas Tecnologías (Ledesma);41.087868;-6.001792;1179298265335;Ledesma;37;Salamanca;Plaza Verdura 12;37100;;NO;1285603932077;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285603932077/Comunicacion;41.087868, -6.001792
'Ibiza80' (FÉLIX ALBO);"<p>En el año en el que en España se celebran las primeras elecciones municipales, Vietnam invade Camboya, Borges recibe el Premio Cervantes, Michael Jackson graba su primer disco, Pink Floyd saca <em>The wall</em>, Ende <em>La Historia Interminable</em>, se estrenan Apocalypse Now y La vida de Brian y se registra la primera nevada en el Sáhara, <strong>dos niños se hacen amigos</strong>.</p> 
<p>Al más mayor de los dos, medio pueblo le llama subnormal. El otro descubre de manera abrupta qué es eso de hacerse mayor. <strong>Ibiza80</strong> nos sumerge en el estrato vital de la infancia, bailando sobre la línea invisible que separa la realidad de la fantasía porque son una misma que se vive con formidable intensidad.</p> 
<p>Dice un proverbio africano que el niño que no es abrazado por su tribu, de adulto quemará la aldea para sentir su calor. <strong>Ibiza80</strong> habla de ese fuego latente que llevamos dentro, de esa tribu que no abraza, de esas ganas de bailar aunque no haya música.</p> 
<p><strong>Ibiza80</strong> es el espectáculo de <strong>Félix Albo</strong> con el que celebra sus 30 años de trabajo sobre las tablas, llevando su mordaz humor y abismos ante un público adulto, majo y con ganas de dejarse llevar, planteando una mirada sobre lo humano, lo emocional, lo absurdo y lo sobrecogedor.</p> 
<p><strong>Género: Teatro. Estilo: Cómico. Duración: 75 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p> 
<p></p>";Teatro títeres monólogo;Espectáculos;2026-11-18;;19:00;;3 euros;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/71/164/Ibiza80,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/71/164/Ibiza80.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Centro Cultural (Sancti-Spíritus);40.70624605943045;-6.40202522277832;1179298325694;Sancti-Spíritus;37;Salamanca;C/ Salamanca, 82;37470;;NO;1285587181951;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285587181951/Comunicacion;40.70624605943045, -6.40202522277832
'Klezmática - música del este de Europa' (KLEZMÁTICA);"<p><em><strong>Klezmática</strong></em> es una formación que centra su trabajo en la interpretación de composiciones basadas en las <strong>melodías</strong> <strong>tradicionales de los países de Europa Central y del Este y también en la música balcánica y klezmer.</strong> Dichas melodías suponen para los músicos un punto de partida para la creación de interesantes arreglos.</p> 
<p>El grupo está integrado por <strong>cuatro músicos con una sólida formación académica, compaginada con experiencias en otros campos (folk, jazz, tango, música clásica, etc.).</strong> La influencia de todos esos estilos, queda patente en los efectos sonoros, improvisaciones, escalas, construcciones armónicas y estructuras formales de las piezas que interpretan. La fusión de elementos tan dispares con las melodías y ritmos enérgicos de la música del este, enriquecida con los adornos y elementos propios del estilo klezmer, crean un interesante universo sonoro que hace vibrar al público.</p> 
<p>Las melodías y temas tradicionales, que suelen ser anónimos, son el material básico que está sometido a estilizaciones y transformaciones para crear sus propios arreglos y composiciones. <strong>Los 'klezmorim' de hoy día enriquecen su música no solo con folklore de los eslavos, griegos, gitanos, árabes o turcos, sino también introducen elementos del jazz, folk, soul y otros estilos de la música actual, como pop, rock, etc.</strong></p> 
<ul> 
<li>Raúl Álvarez: acordeón</li> 
<li>Pawel Hutnik: violín</li> 
<li>Paco Tejero: batería y percusión</li> 
<li>Miroslaw Kasperek: contrabajo.</li> 
</ul> 
<p></p> 
<p><strong>Espectáculo incluido en la programación de la Red de Teatros de Castilla y León</strong></p> 
<p></p><p><strong>Web del evento</strong>: http://klezmatica.com/</p>";Concierto;Conciertos;2026-04-25;;22:00;;3 euros adultos, 2 euros jóvenes, 1 euros niños;;Público familiar;"https://datosabiertos.jcyl.es/web/jcyl/binarios/313/332/KLEZMATICA,2.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/313/332/KLEZMATICA,1.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Espacio escénico La Panera;41.1844678;-6.2261366;1179298289802;Monleras;37;Salamanca;Calle Valentín Iglesias 54;37171;;NO;1285611228587;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285611228587/Comunicacion;41.1844678, -6.2261366
'La maleta' (TEATRO ALÚA);"<p>LA MALETA</p> 
<p>Un espectáculo de mimo, una aventura gestual cómica y original, con un solo actor, que llevará al espectador a un mundo insólito donde todo es posible.</p> 
<p>Sinopsis: Atrévete a abrir 'la maleta' y vive junto con nuestro protagonista una increíble aventura; cruza la selva en busca de un ídolo milenario, acompaña al mayor superhéroe de todos los tiempos en su objetivo de salvar la tierra de una amenaza extraterrestre y mucho mas...</p> 
<p>Más información sobre la obra en el archivo adjunto.</p> 
<p><strong>Género: Teatro. Estilo: Mimo. Duración: 50 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p><p><strong>Web del evento</strong>: https://www.aluateatro.com/</p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/657/929/La%20maleta,4.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='La maleta'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/657/929/La%20maleta,6.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='La maleta'></p>";Teatro títeres monólogo;Espectáculos;2026-04-16;;12:00;;Gratuita.;;Público familiar;"https://datosabiertos.jcyl.es/web/jcyl/binarios/657/929/La%20maleta,2.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/657/929/La%20maleta,1.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Salón de Actos Padres Paúles;40.951523;-5.6499711;1179298334174;Santa Marta de Tormes;37;Salamanca;Avenida Padres Paúles, nº 14;37900;;NO;1285608846349;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285608846349/Comunicacion;40.951523, -5.6499711
'Las bicicletas son para el verano' (PONTE A LA COLA PRODUCCIONES);"<p>Esta exitosa obra de Fernando Fernán-Gómez, nos habla sobre sus recuerdos de infancia durante la Guerra Civil española. La obra fue estrenada en abril de 1982 en el Teatro Español bajo la dirección de José Carlos Plaza, maestro y amigo de esta compañía.</p> 
<p><strong>Las bicicletas son para el verano</strong> nos narra la vida cotidiana de una familia madrileña durante la Guerra Civil. El hijo menor, Luisito, quiere una bici a cambio de aprobar la física, que ha suspendido. Pero la difícil situación hará postergar el regalo más de lo esperado. En este montaje, intentamos reflejar el ambiente social, político y económico de los años en los que la Guerra estaba presente en las calles, en las familias, en las casas. Lo hacemos a través de familias, de personajes, normales de un edificio cualquiera de Madrid con distintas ideologías presentes, los antagonismos y conflictos, la muerte y la desesperación, pero también la esperanza de los niños que, ingenuos ellos, nunca se imaginaban que, en las ciudades, lugares donde no hay desiertos ni mucho campo, se pudieran producir esas guerras y batallas que leían en las novelas. Sin duda, una obra con la que transmitimos el absurdo de las guerras y la necesidad de que la Paz y el Respeto tienen que reinar en las sociedades.</p> 
<p><strong>Género: Teatro. Estilo: Trágico-Cómico. Duración: 105 min.</strong></p> 
<p><strong>Espectáculo incluid en la programación de Circuitos Escénicos de Castilla y León.</strong></p>";Teatro títeres monólogo;Espectáculos;2026-03-20;;20:30;;Anticipada: 4euros Taquilla: 6euros;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/841/817/Las%20bicicletas%20son%20para%20el%20verano,2.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/841/817/Las%20bicicletas%20son%20para%20el%20verano,1.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Centro Cultural (Guijuelo);40.554832;-5.6677876;1179298254513;Guijuelo;37;Salamanca;C/ Príncipe Felipe, 55;03770;;NO;1285603767137;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285603767137/Comunicacion;40.554832, -5.6677876
'Las trece rosas' (COMPAÑÍA ARTÍSTICA ESTÍBALIZ NÚÑEZ);"<p>Las Trece Rosas es el nombre colectivo que se le dio a un grupo de trece jóvenes, la mitad de ellas miembros de las Juventudes Socialistas Unificadas, fusiladas por el régimen franquista en Madrid el 5 de Agosto de 1939, poco después de finalizar la Guerra Civil Española. Sus edades estaban comprendidas entre los 18 y los 29 años. La enorme repercusión mediática de estos hechos ha dado lugar a su narración no solo a nivel propiamente histórico sino que, traspasando barreras, el suceso se ha integrado en el mundo de la literatura, cine, teatro, música...</p> 
<p>Las 13 Rosas es una obra de memoria histórica, inspirada en trece mujeres de tantas que perdieron la vida en la guerra civil. Para llegar a los espectadores y espectadoras utilizamos la música y el baile flamenco, entre otros estilos musicales como insignia, así como utensilios de la vida cotidiana, que también forman parte viva de la escena y el compás que la envuelve.</p> 
<p>Las Trece Rosas, es una combinación de teatro y flamenco que cuenta con actuaciones en directo de música, cante y baile flamenco.</p> 
<p>La obra de Estíbaliz Núñez pone en escena de manera flamenca vivencias sacadas de la guerra civil, envuelto en un tono trágico que precede a la historia.</p> 
<p><strong>Género: Teatro. Estilo: Trágico-cómico. Duración: 90 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de la Red de Teatros de Castilla y León.</strong></p><p><strong>Web del evento</strong>: https://www.estibalizproducciones.com/las-trece-rosas-teatro/</p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/938/445/Las%2013%20rosas,8.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Las 13 rosas'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/938/445/Las%2013%20rosas,10.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Las 13 rosas'></p>";Teatro títeres monólogo;Espectáculos;2026-03-21;;20:00;;Patio de Butacas y primer piso: 10 euros y resto 8 euros.;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/938/445/Las%2013%20rosas,6.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/938/445/Las%2013%20rosas,5.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Teatro Cervantes de Béjar;40.38748162296529;-5.770375728607178;1179298197469;Béjar;37;Salamanca;C/ Olleros, 1;37700;;NO;1285606430930;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285606430930/Comunicacion;40.38748162296529, -5.770375728607178
'Los mentalistas' (LA CHISTERA MÁGICA);"<p><strong>LOS MENTALISTAS</strong> es el espectáculo estrella de La Chistera Mágica. Un espectáculo premiado por profesionales en varios concursos nacionales de magia.</p> 
<p>La pareja formada por la rusa <strong>Olga Maslovska</strong> y el mentalista-coaching <strong>George Loprie </strong>serán los encargados de acompañar al publico a este viaje tan misterioso y divertido.</p> 
<p>Un show de mentalismo, hipnosis y clarividencia donde nada parece lo que es y todo es lo que parece.</p> 
<p></p> 
<p>El poder de la mente es ilimitado y esta pareja lo demostrara con sus adivinaciones imposibles, demostraran la posibilidad de ver sin el sentido de la vista, harán las predicciones mas increíbles y serán capaces de derribar las leyes mas universales de la física, y todo ello gracias a la mente. La mente...esa gran desconocida.</p> 
<p></p> 
<p><strong>Género: Circo. Estilo: Multidisciplinar. Duración: 60 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación </strong><strong>de Circuitos Escénicos de Castilla y León.</strong></p> 
<p></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/659/822/Los%20mentalistas,6.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Los mentalistas'></p>";Magia;Espectáculos;2026-03-28;;20:00;;Gratuita;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/659/822/Los%20mentalistas,4.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/659/822/Los%20mentalistas,3.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Centro Cultural de la Villa (Lumbrales);40.93384373870874;-6.720585823059082;1179298266922;Lumbrales;37;Salamanca;Plaza Mayor, 1;37240;;NO;1285607957303;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285607957303/Comunicacion;40.93384373870874, -6.720585823059082
'Noche de comedia con Luis Larrodera, Coria Castillo y Sergio Encinas' (CORIA CASTILLO);"<p>Una noche de comedia con un cartel formado por tres cómicos y cómicas con brillante trayectoria.</p> 
<p>Sergio Encinas El espectáculo de humor del pucelano Sergio Encinas es un repaso por la actualidad sin dejar de lado tiempos pasados. Eso y mucho más es lo que nos encontraremos durante el show de este cómico que cumple ya más de 20 años subido encima de los escenarios. &iquest;Eres de los que ibas a CAMPVS? &iquest;Tuviste sello de MAMBO en la mano? Pues te aconsejo que vengas a este espectáculo y que te sientes a verlo porque es probable que ya te duelan las rodillas.</p> 
<p>Coria Castillo. Después de haber grabado varios monólogos y participado en programas de Paramount Comedy y Comedy central, colaborar en Hoy por Hoy Madrid (Cadena Ser) y Mentes Peligrosas (Libertad Fm) y una gira con El Manicomio de los horrores de 2 años por España y Mexico, aterriza enBurlada con su espectáculo Nací princesa porque zorras sobraban. Monólogo hilarante que aborda diferentes estereotipos de la sociedad con un sentido del humor único e inigualable. Si creías que lo habías visto todo, pues no te queda nada maja/o.</p> 
<p>Luis Larrodera. Su fama despunta en el año 2004, cuando Chicho Ibáñez Serrador le elige para presentar el programa Un, dos, tres, a leer esta vez. Su buen trabajo le permite continuar una interesante trayectoria en televisión, a menudo, unido al universo de los concursos. Él fue, por ejemplo, el presentador de Alta Tensión, en Cuatro, estuvo al frente de forma temporal de Saber y ganar, y fue el narrador de ElPrecio Justo en su última etapa, la que estrenó Telecinco en 2021 y que luego dio el salto a Cuatro. Hace radio, monólogos, trabaja como actor y ha estado al frente de todo tipo de formatos televisivos.</p> 
<p><strong>Género: Teatro. Estilo: Cómico. Duración: 90 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de Circuitos Escénicos de Castilla y León.</strong></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/988/705/Noche%20de%20comedia,2.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Noche de comedia'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/988/705/Noche%20de%20comedia,4.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate...(Información completa en la ficha del <a href=""https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285608770354/Comunicacion"">contenido</a> )";Teatro títeres monólogo;Espectáculos;2026-04-04;;19:00;;Gratuita.;;Adultos;"https://datosabiertos.jcyl.es/web/jcyl/binarios/988/705/Noche%20de%20comedia,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/988/705/Noche%20de%20comedia.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Cine Municipal de Villarino de los Aires;41.2682598;-6.4652079;1179298381245;Villarino de los Aires;37;Salamanca;Calle Eras, 6;37160;;NO;1285608770354;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285608770354/Comunicacion;41.2682598, -6.4652079
'Olivia y las plumas' (LA MACHINA TEATRO);"<p>Olivia, la protagonista de esta historia, vive en un pequeño pueblo cerca del bosque. Olivia tiene un secreto y es que posee un don especial: puede comunicarse con los animales.</p> 
<p>Gracias a este don, un día descubre que el lago se está secando y que los peces necesitan llegar al mar. Estos le piden que busque plumas para ayudarles. En ese momento, Olivia comienza una intensa búsqueda para recoger decenas de plumas. Se las pide a los gorriones, a las cigeñas viajeras, a la temible águila.</p> 
<p>Pasado un tiempo, Olivia consigue muchísimas plumas, pero no sabe qué hacer con ellas. Una noche, mientras mira fijamente el cielo estrellado, el viento se lleva cada una de sus plumas para dar vida a una auténtica magia: Olivia entenderá el porqué de tantas plumas, desencadenando en un final sorprendente.</p> 
<p><strong>Género: Teatro. Estilo: Multidisciplinar. Duración: 45 min.</strong></p> 
<p><strong>Espectáculo incluido en la programación de la Red de Teatros de Castilla y León</strong></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/329/242/Olivia%20y%20las%20plumas,2.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Olivia y las plumas'></p><p><img src='https://datosabiertos.jcyl.es/web/jcyl/binarios/329/242/Olivia%20y%20las%20plumas,4.jpeg?blobheader=image%2Fjpeg&blobheadername1=Cache-Control&blobheadername2=Expires&blobheadername3=Site&blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&blobheadervalue2=0&blobnocache=true' alt='Olivia y las plumas'></p>";Teatro títeres monólogo;Espectáculos;2026-03-20;;19:00;;5 euros. Abono 3 representaciones: 12 euros.;;Público familiar;"https://datosabiertos.jcyl.es/web/jcyl/binarios/329/242/Olivia%20y%20las%20plumas,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";"https://datosabiertos.jcyl.es/web/jcyl/binarios/329/242/Olivia%20y%20las%20plumas.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true";Teatro de la Fundación Germán Sánchez Ruipérez;40.901066;-5.2003784;1179298309252;Peñaranda de Bracamonte;37;Salamanca;Plaza de España, 14.;37300;;NO;1285606411998;https://cultura.jcyl.es/web/jcyl/Cultura/es/Plantilla100Detalle/1284282053297/Evento/1285606411998/Comunicacion;40.901066, -5.2003784
